event_id,user_id,persona,ueba_risk_score,ueba_finding_type,threat_hypothesis,threat_confidence,attack_stage,compliance_control_id,compliance_status,human_review_recommended
evt_test_00843,u_nightowl_noah_003,nightowl_engineer,100.0,unusual_authentication,Possible credential misuse or suspicious login context,high,initial_access,SF-AUTH-002,non_compliant,True
evt_test_00844,u_nightowl_noah_003,nightowl_engineer,100.0,unusual_authentication,Possible malicious OAuth consent or connected-app abuse,high,credential_access,SF-AUTH-002,non_compliant,True
evt_test_00846,u_nightowl_noah_003,nightowl_engineer,100.0,unusual_authentication,Possible credential misuse or suspicious login context,high,initial_access,SF-AUTH-002,non_compliant,True
evt_test_00847,u_nightowl_noah_003,nightowl_engineer,100.0,unusual_authentication,Possible malicious OAuth consent or connected-app abuse,high,credential_access,SF-AUTH-002,non_compliant,True
evt_test_00848,u_nightowl_noah_003,nightowl_engineer,66.36,unusual_admin_behavior,Possible privilege misuse or unauthorized admin change,medium,privilege_escalation_or_defense_evasion,SF-ADMIN-004,needs_review,False
evt_test_00849,u_nightowl_noah_003,nightowl_engineer,100.0,unusual_authentication,Possible credential misuse or suspicious login context,high,initial_access,SF-AUTH-002,non_compliant,True
evt_test_01088,u_complex_query_004,complex_query_engineer,65.19,behavioral_anomaly,Unusual Salesforce behavior requiring review,low,unknown,SF-ACCESS-001,needs_review,False
evt_test_01125,u_complex_query_004,complex_query_engineer,100.0,unusual_data_access_or_export,Possible data staging or exfiltration through Salesforce export activity,high,collection_or_exfiltration,SF-DATA-003,non_compliant,True
evt_test_01126,u_complex_query_004,complex_query_engineer,100.0,behavioral_anomaly,Possible data staging or exfiltration through Salesforce export activity,high,collection_or_exfiltration,SF-DATA-003,non_compliant,True
evt_test_01128,u_complex_query_004,complex_query_engineer,100.0,unusual_data_access_or_export,Possible data staging or exfiltration through Salesforce export activity,high,collection_or_exfiltration,SF-DATA-003,non_compliant,True
evt_test_01129,u_complex_query_004,complex_query_engineer,100.0,behavioral_anomaly,Possible data staging or exfiltration through Salesforce export activity,high,collection_or_exfiltration,SF-DATA-003,non_compliant,True
evt_test_01130,u_complex_query_004,complex_query_engineer,66.51,unusual_authentication,Possible credential misuse or suspicious login context,medium,initial_access,SF-ACCESS-001,needs_review,False
evt_test_01131,u_complex_query_004,complex_query_engineer,100.0,unusual_data_access_or_export,Possible data staging or exfiltration through Salesforce export activity,high,collection_or_exfiltration,SF-DATA-003,non_compliant,True
evt_test_01132,u_complex_query_004,complex_query_engineer,100.0,behavioral_anomaly,Possible data staging or exfiltration through Salesforce export activity,high,collection_or_exfiltration,SF-DATA-003,non_compliant,True
evt_test_01410,u_admin_005,salesforce_admin,100.0,unusual_data_access_or_export,Possible data staging or exfiltration through Salesforce export activity,high,collection_or_exfiltration,SF-DATA-003,non_compliant,True
evt_test_01413,u_admin_005,salesforce_admin,100.0,unusual_data_access_or_export,Possible privilege misuse or unauthorized admin change,high,privilege_escalation_or_defense_evasion,SF-DATA-003,non_compliant,True
evt_test_01415,u_admin_005,salesforce_admin,83.0,behavioral_anomaly,Possible malicious OAuth consent or connected-app abuse,medium,credential_access,SF-AUTH-002,non_compliant,True
